name,categories,city,state,address,postalCode,latitude,longitude
China Bear,"Asian Restaurants,Restaurant,Chinese Restaurant South Columbus,American restaurants,Fast Food Restaurants,Restaurants,Chinese restaurants",Columbus,OH,1546 Lockbourne Rd,43207,39.933702,-82.963597
KFC,"Carry-out food,Caterers,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,American restaurants,Barbecue,Spare rib restaurants,Chicken restaurants,Catering,Restaurants",Painesville,OH,200 Richmond St,44077,41.7262,-81.25
Orange Julius,"Natural food restaurants,Carry-out food,Ice cream parlors,American restaurants,Fast Food Restaurants,Restaurants,Juice bars,Ice Cream & Frozen Desserts,Vegetarian restaurants,Refreshment Stands,Ice cream and frozen desserts-retail,Health food restaurants,Juices",Chesterland,OH,8423 Mayfield Rd,44026,41.522182,-81.34068
Arby's,"Carry-out food,Food and Beverage,American Restaurant,American restaurants,Fast Food,Fast Food Restaurant, Sandwich Place, and American Restaurant,Restaurants,Delis And Delicatessens,Restaurant,Fast Food Restaurant,Traditional American,wich Place,Sandwich Shops",Youngstown,OH,701 N Canfield Niles Rd,44515,41.119642,-80.767626
Frisch's Big Boy,"Hamburgers & Hot Dogs,Carry-out food,American restaurants,Take Out Restaurants,Fast Food Restaurants,Breakfast Brunch & Lunch Restaurants,,Family Style Restaurants,Restaurants,Sandwich Shops",Groveport,OH,3920 Hamilton Square Blvd,43125,39.893864,-82.88114
Arby's,"Restaurant, Fast Food Restaurant, and Sandwich Place,Restaurant,Carry-out food,Fast Food Restaurant,American Restaurant,wich Place,American restaurants,Fast Food Restaurant and Sandwich Place,Fast Food Restaurant, Sandwich Place, and American Restaurant,Restaurants",Henderson,NV,310 S Boulder Hwy,89015,36.03616,-114.977158
McDonald's,"Restaurant,Carry-out food,Hot dog restaurants,Hamburger restaurants,Take Out Restaurants,Fast food restaurants,Hamburgers and Hot Dogs,Restaurants",Andover,OH,350 E Main St,44003,41.607167,-80.563211
Burger King,"Restaurant,Carry-out food,Hot dog restaurants,Hamburger restaurants,Fast Food Restaurants,Karaoke,Hamburgers and Hot Dogs,Restaurants",Conneaut,OH,183 Gateway Ave,44030,41.923502,-80.569174
Buena Vista & Bv Ii Go,"Carry-out food,Tex-mex restaurants,Southwestern restaurants,Mexican restaurants,Take Out Restaurants,Fast Food Restaurants,Restaurants,Pizza,Coffee Shops,Turkish restaurants,Armenian restaurants,Italian restaurants,Greek restaurants,Mediterranean restaurants",Warren,OH,1873 Niles Cortland Rd Ne,44484,41.2628,-80.74087
Burger King,"Hamburgers & Hot Dogs,Restaurant,Carry-out food,Hot dog restaurants,Fast Food Restaurant,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",Okemos,MI,2010 W Grand River Ave,48864,42.721499,-84.423362
Fox's Pizza Den,"Pizza,Carry-out food,American restaurants,Take Out Restaurants,Fast Food Restaurants,Family Style Restaurants,Restaurants,Italian Restaurants",Philippi,WV,309 S Main St,26416,39.1483,-80.03623
Panera Bread,"Carry-out food,Coffee Shops,Restaurant,Delicatessens,Fast Food Restaurant,American restaurants,wich Place,Take Out Restaurants,Health Food Restaurants,Sandwich Place,Restaurants,Sandwich Shops",Burlington,NC,563 Huffman Mill Rd,27215,36.07431,-79.49048
KFC,"Carry-out food,Caterers,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,American restaurants,Barbecue,Spare rib restaurants,Chicken restaurants,Catering,Restaurants",Burlington,NC,665 Huffman Mill Rd,27215,36.0731,-79.4925
KFC,"Carry-out food,Caterers,Fried Chicken Joint,Barbecued poultry,Fast Food Restaurant,American restaurants,Barbecue,Spare rib restaurants,Chicken restaurants,Catering,Restaurants",Burlington,NC,1820 N Church St,27217,36.0959,-79.4069
Subway,"Take Out Restaurants,Fast Food Restaurants,Restaurants,Sandwich Shops",Breaux Bridge,LA,1932 Rees St,70517,30.29302,-91.91097
Burgers Stop,"Hamburgers & Hot Dogs,American Restaurants,Hot dog restaurants,Hamburger restaurants,Fast Food Restaurants,Hamburgers and Hot Dogs,Restaurants",South Lake Tahoe,CA,1070 Emerald Bay Rd,96150,38.91108,-120.00351
